trackName,artistName,album,duration
No Worries,Lil Wayne,I Am Not A Human Being II (Deluxe),221
Love Me,Lil Wayne,I Am Not A Human Being II (Deluxe),253.44
Blunt Blowin,Lil Wayne,Tha Carter IV (Deluxe),312.96
6 Foot 7 Foot,Lil Wayne,Tha Carter IV (Deluxe),248.586
She Will,Lil Wayne,Tha Carter IV (Deluxe),305.84
How To Love,Lil Wayne,Tha Carter IV (Deluxe),240.306
Mirror,Lil Wayne,Tha Carter IV (Deluxe),228.093
Right Above It,Lil Wayne,I Am Not A Human Being,271.946
A Milli,Lil Wayne,Tha Carter III,221.84
Drop The World,Lil Wayne,Rebirth (Deluxe),229.226
Started From the Bottom,Drake,Nothing Was The Same (Deluxe),174.133
Worst Behavior,Drake,Nothing Was The Same (Deluxe),270.186
"Hold On, We're Going Home",Drake,Nothing Was The Same (Deluxe),227.88
The Language,Drake,Nothing Was The Same (Deluxe),224.013
All Me,Drake,Nothing Was The Same (Deluxe),270.866
Headlines,Drake,Take Care (Deluxe),235.986
Make Me Proud,Drake,Take Care (Deluxe),219.893
HYFR (Hell Ya Fucking Right),Drake,Take Care (Deluxe),206.626
Over,Drake,Thank Me Later,233.56
Find Your Love,Drake,Thank Me Later,208.946
Moment 4 Life,Nicki Minaj,Pink Friday,279.306
I'm Goin In,Drake,So Far Gone,225.266
The Motto,Drake,The Motto (Explicit Version),181.4
Where The Hood At,DMX,The Best Of DMX,287.426
Party Up,DMX,The Best Of DMX,274.053
X Gon' Give It To Ya,DMX,The Best Of DMX,219.253
Runnin',Machine Gun Kelly,Lace Up (Deluxe),167.706
Invincible,Machine Gun Kelly,Lace Up (Deluxe),185.733
No Interruption,Hoodie Allen,All American,215.24
No Faith in Brooklyn (feat. Jhameel),Hoodie Allen,All American,201.226
Fame Is for Assholes (feat. Chiddy),Hoodie Allen,Crew Cuts,196.456
Make It Home (feat. Kina Grannis),Hoodie Allen,Make It Home (feat. Kina Grannis),197.554
All That I Know (feat. Hoodie Allen),Moosh & Twist,All That I Know (feat. Hoodie Allen),231.111
No Interruption (Acoustic),Hoodie Allen,No Interruption (Acoustic),225.677
Talk Dirty (feat. 2 Chainz),Jason Derulo,Tattoos EP,177.685
Marry Me,Jason Derulo,Tattoos EP,225.026
Whatcha Say,Jason Derulo,Jason Derulo (Deluxe Audio),221.253
Ridin' Solo,Jason Derulo,Jason Derulo (Deluxe Audio),215.746
It Girl,Jason Derulo,Future History (Deluxe Edition),192.2
In My Head,Jason Derulo,Jason Derulo (Deluxe Audio),198.96
Show Me,Kid Ink,Show Me,219.64
Hell & Back,Kid Ink,Up & Away,250.558
Money and the Power,Kid Ink,Almost Home,206.666
Rack City,Tyga,Rack City,208.84
Wait For A Minute,Tyga,Wait For A Minute,207.013
Faded,Tyga,Faded,213.466
Far Away,Tyga,Careless World: Rise Of The Last King,206.52
The Way,Ariana Grande,Yours Truly,227.026
Right There,Ariana Grande,Yours Truly,247.08
Party On Fifth Ave.,Mac Miller,Blue Slide Park,173.516
Frick Park Market,Mac Miller,Blue Slide Park,197.559
Smile Back,Mac Miller,Blue Slide Park,162.008
Missed Calls,Mac Miller,Blue Slide Park,178.902
Another Night,Mac Miller,On And On And Beyond,176.043
Donald Trump,Mac Miller,Donald Trump - Single,165.908
Loud,Mac Miller,Loud,171.148
Knock Knock,Mac Miller,Knock Knock - Single,202.806
Beware,Big Sean,Beware,236.56
Dance (A$$) Remix,Big Sean,Dance (A$$) Remix,220.346
My Nigga,YG,My Nigga,236.093
HeadBand (feat. 2 Chainz),B.o.B,HeadBand (feat. 2 Chainz),219.833
Paranoid (feat. B.o.B),Ty Dolla $ign,Paranoid (feat. B.o.B),216.267
So Good,B.o.B,Strange Clouds,213.253
Strange Clouds (feat. Lil Wayne),B.o.B,Strange Clouds,226.293
Airplanes (feat. Hayley Williams of Paramore),B.o.B,B.o.B Presents: The Adventures of Bobby Ray,180.48
Both of Us (feat. Taylor Swift),B.o.B,Strange Clouds,216.12
Magic (feat. Rivers Cuomo),B.o.B,B.o.B Presents: The Adventures of Bobby Ray,196.133
POWER,Kanye West,My Beautiful Dark Twisted Fantasy,292.093
Ni**as In Paris,JAY-Z,Watch The Throne (Deluxe),219.333
Can't Tell Me Nothing,Kanye West,Graduation,271.6
Clique,Kanye West,Clique,293.533
Mercy,Kanye West,Mercy,329.32
Forever,Drake,More Than A Game,357.346
We Own It (Fast & Furious),2 Chainz,Fast & Furious 6,227.893
"My Moment (feat. 2 Chainz, Meek Mill and Jeremih)",DJ Drama,"My Moment (feat. 2 Chainz, Meek Mill and Jeremih)",200.56
No Lie,2 Chainz,No Lie,239.186
No Sleep,Wiz Khalifa,Rolling Papers,191.32
Roll Up,Wiz Khalifa,Rolling Papers,227.773
Black and Yellow,Wiz Khalifa,Rolling Papers,217.666
Payphone,Maroon 5,Payphone,231.466
